"",BBDP1.Q.DE.N.BP.O.B1A0000000.I15.A,BBDP1.Q.DE.N.BP.O.B1A0000000.I15.A_FLAGS
"",Construction price index / Germany / Unadjusted figure / Total,
unit,2015=100,
unit multiplier,one,
last update,2020-04-09 10:10:06,
1968-01,20.5,
1968-04,20.5,
1968-07,20.9,
1968-10,20.9,
1969-01,21.0,
1969-04,21.7,
1969-07,22.3,
1969-10,23.0,
1970-01,24.5,
1970-04,25.6,
1970-07,26.0,
1970-10,26.4,
1971-01,27.1,
1971-04,28.4,
1971-07,28.4,
1971-10,28.4,
1972-01,28.9,
1972-04,29.5,
1972-07,29.8,
1972-10,29.8,
1973-01,30.3,
1973-04,31.5,
1973-07,31.6,
1973-10,31.5,
1974-01,32.4,
1974-04,33.9,
1974-07,34.1,
1974-10,34.0,
1975-01,34.0,
1975-04,34.4,
1975-07,34.4,
1975-10,34.4,
1976-01,34.6,
1976-04,35.4,
1976-07,35.7,
1976-10,35.9,
1977-01,36.0,
1977-04,37.0,
1977-07,37.3,
1977-10,37.4,
1978-01,38.1,
1978-04,38.8,
1978-07,39.6,
1978-10,39.9,
1979-01,40.5,
1979-04,42.2,
1979-07,43.4,
1979-10,44.0,
1980-01,45.4,
1980-04,47.3,
1980-07,47.9,
1980-10,48.1,
1981-01,48.5,
1981-04,49.8,
1981-07,50.1,
1981-10,50.2,
1982-01,50.7,
1982-04,51.0,
1982-07,51.1,
1982-10,51.0,
1983-01,51.0,
1983-04,51.6,
1983-07,52.3,
1983-10,52.3,
1984-01,52.7,
1984-04,53.1,
1984-07,53.3,
1984-10,53.2,
1985-01,53.2,
1985-04,53.3,
1985-07,53.7,
1985-10,53.8,
1986-01,54.0,
1986-04,54.4,
1986-07,54.7,
1986-10,54.8,
1987-01,55.0,
1987-04,55.4,
1987-07,55.6,
1987-10,55.7,
1988-01,55.9,
1988-04,56.5,
1988-07,56.8,
1988-10,57.1,
1989-01,57.5,
1989-04,58.3,
1989-07,58.7,
1989-10,59.1,
1990-01,60.3,
1990-04,61.9,
1990-07,62.7,
1990-10,63.3,
1991-01,64.4,
1991-04,66.2,
1991-07,67.1,
1991-10,67.7,
1992-01,68.9,
1992-04,70.3,
1992-07,71.2,
1992-10,71.4,
1993-01,72.6,
1993-04,73.5,
1993-07,73.7,
1993-10,73.9,
1994-01,74.3,
1994-04,74.9,
1994-07,75.2,
1994-10,75.5,
1995-01,76.0,
1995-04,76.7,
1995-07,76.7,
1995-10,76.7,
1996-01,76.5,
1996-04,76.4,
1996-07,76.3,
1996-10,76.1,
1997-01,76.0,
1997-04,75.9,
1997-07,75.8,
1997-10,75.5,
1998-01,75.3,
1998-04,75.9,
1998-07,75.8,
1998-10,75.5,
1999-01,75.4,
1999-04,75.3,
1999-07,75.4,
1999-10,75.5,
2000-01,75.7,
2000-04,75.9,
2000-07,76.0,
2000-10,76.1,
2001-01,76.1,
2001-04,76.1,
2001-07,76.1,
2001-10,76.0,
2002-01,76.0,
2002-04,76.0,
2002-07,76.1,
2002-10,76.0,
2003-01,76.1,
2003-04,76.1,
2003-07,76.1,
2003-10,76.1,
2004-01,76.3,
2004-04,76.9,
2004-07,77.2,
2004-10,77.4,
2005-01,77.8,
2005-04,77.8,
2005-07,77.8,
2005-10,78.0,
2006-01,78.6,
2006-04,79.1,
2006-07,80.2,
2006-10,80.9,
2007-01,84.3,
2007-04,84.9,
2007-07,85.4,
2007-10,85.9,
2008-01,86.8,
2008-04,87.6,
2008-07,88.8,
2008-10,88.8,
2009-01,89.1,
2009-04,88.9,
2009-07,89.1,
2009-10,89.1,
2010-01,89.2,
2010-04,89.8,
2010-07,90.2,
2010-10,90.4,
2011-01,91.5,
2011-04,92.2,
2011-07,92.9,
2011-10,93.2,
2012-01,94.2,
2012-04,94.8,
2012-07,95.3,
2012-10,95.6,
2013-01,96.3,
2013-04,96.8,
2013-07,97.3,
2013-10,97.4,
2014-01,98.2,
2014-04,98.4,
2014-07,98.9,
2014-10,99.0,
2015-01,99.6,
2015-04,99.8,
2015-07,100.2,
2015-10,100.4,
2016-01,101.1,
2016-04,101.7,
2016-07,102.2,
2016-10,102.6,
2017-01,103.9,
2017-04,104.9,
2017-07,105.7,
2017-10,106.5,
2018-01,108.3,
2018-04,109.4,
2018-07,111.0,
2018-10,112.0,
2019-01,114.0,
2019-04,115.0,
2019-07,115.8,
2019-10,116.4,
2020-01,117.8,
"","Methodology: 1 Source: Bundesbank calculations using Federal Statistical Office data. - 2 Territorial definition: 1968 Q1 to 1990 Q4, western Germany; from 1991 Q1, Germany. - 3 Methodology: From 1968 Q1 to 1987 Q4: Series for western Germany based on 1991 = 100 chain-linked with the series for Germany based on 1995 = 100 via 1988 Q1.  From 1988 Q1 to 1994 Q4: Aggregation of partial series recalculated by the Federal Statistical Office. From 1968 Q1 to 1999 Q4: Series based on 1995 = 100 chain-linked with the series based on 2000 = 100 via 2000 Q1. From 2000 Q1 to 2004 Q4: Aggregation of partial series calculated by the Federal Statistical Office. From 1968 Q1 to 2004 Q4: Series based on 2000 = 100 chain-linked with the series based on 2005 = 100 via 2005 Q1. From 2005 Q1: Aggregation of partial series calculated by the Federal Statistical Office. From 1968 Q1 to 2009 Q4: Series based on 2005 = 100 chain-linked with the series based on 2010 = 100 via 2010 Q1. From 2010 Q1: Aggregation of partial series calculated by the Federal Statistical Office.From 1968 Q1 to 2014 Q4: Series based on 2010 = 100 chain-linked with the series based on 2015 = 100 via 2015 Q1. From 2015 Q1: Aggregation of partial series calculated by the Federal Statistical Office.",
