,BBDP1.M.DE.Y.VPI.C.A00000.I15.L,BBDP1.M.DE.Y.VPI.C.A00000.I15.L_FLAGS
,Consumer price index / Germany / Calendar and seasonally adjusted / Overall index,
unit,2015=100,
unit multiplier,one,
last update,4/29/2020 16:36,
1948-06,19.1,
1948-07,19.9,
1948-08,20.5,
1948-09,20.9,
1948-10,21.8,
1948-11,21.5,
1948-12,21.7,
1949-01,21.4,
1949-02,21.3,
1949-03,21.1,
1949-04,20.9,
1949-05,20.9,
1949-06,21,
1949-07,20.7,
1949-08,20.4,
1949-09,20.5,
1949-10,20.5,
1949-11,20.5,
1949-12,20.4,
1950-01,19.8,
1950-02,19.7,
1950-03,19.5,
1950-04,19.4,
1950-05,19.4,
1950-06,19.4,
1950-07,19.2,
1950-08,19.4,
1950-09,19.5,
1950-10,19.4,
1950-11,19.5,
1950-12,19.6,
1951-01,19.8,
1951-02,20.1,
1951-03,20.6,
1951-04,20.8,
1951-05,21,
1951-06,21.2,
1951-07,21.1,
1951-08,21.2,
1951-09,21.3,
1951-10,21.7,
1951-11,21.7,
1951-12,21.7,
1952-01,21.8,
1952-02,21.7,
1952-03,21.6,
1952-04,21.5,
1952-05,21.4,
1952-06,21.3,
1952-07,21.2,
1952-08,21.4,
1952-09,21.4,
1952-10,21.3,
1952-11,21.3,
1952-12,21.4,
1953-01,21.3,
1953-02,21.2,
1953-03,21.2,
1953-04,21.2,
1953-05,21.2,
1953-06,21.1,
1953-07,21.1,
1953-08,21.1,
1953-09,20.9,
1953-10,20.9,
1953-11,20.9,
1953-12,20.8,
1954-01,20.8,
1954-02,21,
1954-03,21,
1954-04,21,
1954-05,21,
1954-06,21.1,
1954-07,21.1,
1954-08,21.2,
1954-09,21.2,
1954-10,21.3,
1954-11,21.3,
1954-12,21.3,
1955-01,21.3,
1955-02,21.3,
1955-03,21.3,
1955-04,21.3,
1955-05,21.3,
1955-06,21.3,
1955-07,21.5,
1955-08,21.4,
1955-09,21.5,
1955-10,21.7,
1955-11,21.7,
1955-12,21.8,
1956-01,21.7,
1956-02,21.8,
1956-03,22.1,
1956-04,22,
1956-05,22,
1956-06,22,
1956-07,22,
1956-08,22,
1956-09,22.1,
1956-10,22.1,
1956-11,22.1,
1956-12,22.2,
1957-01,22.2,
1957-02,22.2,
1957-03,22.2,
1957-04,22.2,
1957-05,22.4,
1957-06,22.5,
1957-07,22.6,
1957-08,22.7,
1957-09,22.7,
1957-10,22.7,
1957-11,22.7,
1957-12,22.6,
1958-01,22.8,
1958-02,22.9,
1958-03,22.9,
1958-04,23,
1958-05,23.1,
1958-06,23.2,
1958-07,23,
1958-08,22.9,
1958-09,22.8,
1958-10,22.9,
1958-11,22.9,
1958-12,23,
1959-01,23,
1959-02,23,
1959-03,23,
1959-04,22.9,
1959-05,23,
1959-06,23.1,
1959-07,23.1,
1959-08,23.3,
1959-09,23.3,
1959-10,23.4,
1959-11,23.4,
1959-12,23.4,
1960-01,23.4,
1960-02,23.4,
1960-03,23.4,
1960-04,23.4,
1960-05,23.5,
1960-06,23.5,
1960-07,23.5,
1960-08,23.5,
1960-09,23.6,
1960-10,23.6,
1960-11,23.6,
1960-12,23.7,
1961-01,23.7,
1961-02,23.8,
1961-03,23.8,
1961-04,23.8,
1961-05,23.9,
1961-06,24,
1961-07,24.1,
1961-08,24.1,
1961-09,24.2,
1961-10,24.2,
1961-11,24.3,
1961-12,24.3,
1962-01,24.4,
1962-02,24.5,
1962-03,24.6,
1962-04,24.7,
1962-05,24.7,
1962-06,24.8,
1962-07,24.9,
1962-08,24.8,
1962-09,24.8,
1962-10,24.9,
1962-11,24.9,
1962-12,25,
1963-01,25.1,
1963-02,25.4,
1963-03,25.4,
1963-04,25.5,
1963-05,25.4,
1963-06,25.4,
1963-07,25.4,
1963-08,25.4,
1963-09,25.6,
1963-10,25.6,
1963-11,25.7,
1963-12,25.8,
1964-01,25.9,
1964-02,25.9,
1964-03,25.9,
1964-04,25.9,
1964-05,26,
1964-06,26,
1964-07,26.1,
1964-08,26.2,
1964-09,26.2,
1964-10,26.3,
1964-11,26.3,
1964-12,26.4,
1965-01,26.4,
1965-02,26.4,
1965-03,26.5,
1965-04,26.6,
1965-05,26.7,
1965-06,26.9,
1965-07,27,
1965-08,27.1,
1965-09,27.2,
1965-10,27.3,
1965-11,27.4,
1965-12,27.4,
1966-01,27.5,
1966-02,27.5,
1966-03,27.6,
1966-04,27.8,
1966-05,27.9,
1966-06,27.9,
1966-07,27.9,
1966-08,28,
1966-09,28,
1966-10,28.1,
1966-11,28.2,
1966-12,28.2,
1967-01,28.2,
1967-02,28.2,
1967-03,28.2,
1967-04,28.2,
1967-05,28.3,
1967-06,28.4,
1967-07,28.4,
1967-08,28.4,
1967-09,28.4,
1967-10,28.5,
1967-11,28.5,
1967-12,28.4,
1968-01,28.6,
1968-02,28.7,
1968-03,28.7,
1968-04,28.7,
1968-05,28.7,
1968-06,28.8,
1968-07,28.8,
1968-08,28.8,
1968-09,28.9,
1968-10,28.9,
1968-11,29,
1968-12,29.1,
1969-01,29.1,
1969-02,29.2,
1969-03,29.2,
1969-04,29.2,
1969-05,29.3,
1969-06,29.3,
1969-07,29.4,
1969-08,29.4,
1969-09,29.4,
1969-10,29.5,
1969-11,29.6,
1969-12,29.7,
1970-01,29.9,
1970-02,29.9,
1970-03,30,
1970-04,30.1,
1970-05,30.2,
1970-06,30.3,
1970-07,30.3,
1970-08,30.5,
1970-09,30.5,
1970-10,30.6,
1970-11,30.8,
1970-12,30.9,
1971-01,31.1,
1971-02,31.3,
1971-03,31.5,
1971-04,31.6,
1971-05,31.7,
1971-06,31.9,
1971-07,32,
1971-08,32.2,
1971-09,32.3,
1971-10,32.4,
1971-11,32.5,
1971-12,32.6,
1972-01,32.8,
1972-02,32.9,
1972-03,33.1,
1972-04,33.2,
1972-05,33.3,
1972-06,33.4,
1972-07,33.7,
1972-08,33.9,
1972-09,34.2,
1972-10,34.4,
1972-11,34.5,
1972-12,34.7,
1973-01,34.9,
1973-02,35.1,
1973-03,35.3,
1973-04,35.5,
1973-05,35.7,
1973-06,36,
1973-07,36.2,
1973-08,36.3,
1973-09,36.4,
1973-10,36.7,
1973-11,37.1,
1973-12,37.4,
1974-01,37.5,
1974-02,37.7,
