,BBK01.SU0304,BBK01.SU0304_FLAGS
,Money market rates / EONIA / Monthly average,
unit,% p.a.,
unit multiplier,one,
last update,5/4/2020 15:30,
1999-01,3.14,
1999-02,3.12,
1999-03,2.93,
1999-04,2.71,
1999-05,2.55,
1999-06,2.56,
1999-07,2.52,
1999-08,2.44,
1999-09,2.43,
1999-10,2.5,
1999-11,2.94,
1999-12,3.04,
2000-01,3.04,
2000-02,3.28,
2000-03,3.51,
2000-04,3.69,
2000-05,3.92,
2000-06,4.29,
2000-07,4.31,
2000-08,4.42,
2000-09,4.59,
2000-10,4.76,
2000-11,4.83,
2000-12,4.83,
2001-01,4.76,
2001-02,4.99,
2001-03,4.78,
2001-04,5.06,
2001-05,4.65,
2001-06,4.54,
2001-07,4.51,
2001-08,4.49,
2001-09,3.99,
2001-10,3.97,
2001-11,3.51,
2001-12,3.34,
2002-01,3.29,
2002-02,3.28,
2002-03,3.26,
2002-04,3.32,
2002-05,3.31,
2002-06,3.35,
2002-07,3.3,
2002-08,3.29,
2002-09,3.32,
2002-10,3.3,
2002-11,3.3,
2002-12,3.09,
2003-01,2.79,
2003-02,2.76,
2003-03,2.75,
2003-04,2.56,
2003-05,2.56,
2003-06,2.21,
2003-07,2.08,
2003-08,2.1,
2003-09,2.02,
2003-10,2.01,
2003-11,1.97,
2003-12,2.06,
2004-01,2.02,
2004-02,2.03,
2004-03,2.01,
2004-04,2.08,
2004-05,2.02,
2004-06,2.03,
2004-07,2.07,
2004-08,2.04,
2004-09,2.05,
2004-10,2.11,
2004-11,2.09,
2004-12,2.05,
2005-01,2.08,
2005-02,2.06,
2005-03,2.06,
2005-04,2.08,
2005-05,2.07,
2005-06,2.06,
2005-07,2.07,
2005-08,2.06,
2005-09,2.09,
2005-10,2.07,
2005-11,2.09,
2005-12,2.28,
2006-01,2.33,
2006-02,2.35,
2006-03,2.52,
2006-04,2.63,
2006-05,2.58,
2006-06,2.7,
2006-07,2.81,
2006-08,2.97,
2006-09,3.04,
2006-10,3.28,
2006-11,3.33,
2006-12,3.5,
2007-01,3.56,
2007-02,3.57,
2007-03,3.69,
2007-04,3.82,
2007-05,3.79,
2007-06,3.96,
2007-07,4.06,
2007-08,4.05,
2007-09,4.03,
2007-10,3.94,
2007-11,4.02,
2007-12,3.88,
2008-01,4.02,
2008-02,4.03,
2008-03,4.09,
2008-04,3.99,
2008-05,4.01,
2008-06,4.01,
2008-07,4.19,
2008-08,4.3,
2008-09,4.27,
2008-10,3.82,
2008-11,3.15,
2008-12,2.49,
2009-01,1.81,
2009-02,1.26,
2009-03,1.06,
2009-04,0.84,
2009-05,0.78,
2009-06,0.7,
2009-07,0.36,
2009-08,0.35,
2009-09,0.36,
2009-10,0.36,
2009-11,0.36,
2009-12,0.35,
2010-01,0.34,
2010-02,0.34,
2010-03,0.35,
2010-04,0.35,
2010-05,0.34,
2010-06,0.35,
2010-07,0.48,
2010-08,0.43,
2010-09,0.45,
2010-10,0.7,
2010-11,0.59,
2010-12,0.5,
2011-01,0.66,
2011-02,0.71,
2011-03,0.66,
2011-04,0.97,
2011-05,1.03,
2011-06,1.12,
2011-07,1.01,
2011-08,0.91,
2011-09,1.01,
2011-10,0.96,
2011-11,0.79,
2011-12,0.63,
2012-01,0.38,
2012-02,0.37,
2012-03,0.36,
2012-04,0.35,
